real,predicho
1246.4,1118.896460815747
402.34,1111.5929442916008
426.44,1145.0387608697642
1245.24,1164.4897854522567
1143.6,1159.111709876721
507.63,1111.63429695038
325.76,693.9584728229743
369.36,705.2535458458577
961.42,727.2740554697884
162.78,679.6628728485357
877.61,528.0949905264889
442.05,590.132437645856
902.89,538.524914493024
214.16,541.2641612069256
1215.86,724.0924436852242
1171.63,706.9027715538637
554.62,579.1855611765786
637.42,521.2779580355428
446.86,591.2222234847715
115.39,562.6459018174664
297.07,1121.111415774979
345.93,694.2591505188117
1259.55,713.5134573959213
860.36,1098.477910186861
992.24,719.6396419472917
905.94,695.1979272489468
1402.13,1189.0115172517594
595.32,1140.0852829657601
559.03,724.695941410657
153.79,552.7345450156902
1109.05,698.467297053977
624.01,1161.0051066075455
1078.43,682.1103889261503
1173.29,738.7111919597876
689.41,711.8490713812506
426.62,713.2150437552682
1482.95,1178.664695653403
952.83,560.4314995500672
1184.64,712.3341781794877
1178.95,727.8398746103386
876.65,667.3902323134157
914.82,707.8071120557788
164.15,718.8496054159921
651.76,733.8531870512817
969.32,1152.2271187453282
855.8,511.6889515045714
597.84,752.7709061243947
466.4,527.3692890831779
663.44,687.6464069274111
422.43,1085.8797508582777
1842.21,1086.2576012045033
430.5,527.4781622674868
1182.66,738.2974373875139
610.07,712.1417631176805
1042.13,707.7436099279608
733.26,744.5265773497505
998.6,566.307128062587
375.71,552.4822279391046
511.42,556.8360515164536
1448.49,1158.6604104685694
1262.47,1142.2508154555858
1511.06,1147.5827211693663
678.46,715.4505652122073
621.09,496.82598124842343
1166.13,1144.123915008155
547.75,1152.3143801110114
233.55,705.9699222401678
1060.08,731.2202653876645
131.87,756.2063164759038
593.91,551.409561805983
1189.09,688.7203454394687
490.14,499.06284965144835
859.84,520.7345053666955
1104.08,1174.1442921572439
574.06,1091.392322365052
472.75,713.70677837518
199.69,668.445235986376
139.26,520.9743368050407
911.57,1134.3806611656335
783.34,670.8331030328691
659.13,1154.8826418334181
516.16,685.6693138133248
1085.2,699.9742913198966
1675.88,1140.2319551176683
1023.94,728.9795398945571
1463.42,1193.0000601932536
255.63,685.8976568203351
578.64,1133.5818400062253
183.99,675.2272311893278
609.6,1187.3279128132515
104.37,571.0745560506243
1621.77,1116.487494367722
172.57,756.9000399773629
930.15,584.4072167775594
374.41,539.864114056676
906.22,718.7826434741733
597.72,1118.839258329867
303.8,712.2527927469614
1196.31,709.0716106166495
389.78,700.4004009020591
151.97,776.6958280519807
1254.0,700.7344994862766
317.83,733.2530215305798
1873.36,1118.3928102048399
360.68,596.7280910213906
330.94,542.8894154052355
533.59,740.4471049565709
1307.09,1128.731291848434
1862.66,1129.554674785483
600.53,556.0343896538336
1258.36,782.5376272219936
1290.67,702.5506900215746
1039.06,725.4081704729422
1404.23,1098.8878035860305
841.25,707.0123348992247
942.36,540.2980762342265
181.99,533.3621909946021
130.26,683.708098298319
846.79,746.7254341183556
518.7,1178.7484200991012
577.18,568.7287460631666
263.25,527.1051308026251
379.45,732.2081859692787
248.68,582.8743966494878
1461.9,1162.2822220986995
949.77,691.2292482275536
699.94,552.061346374072
530.47,1141.5994437606057
1686.23,1138.562331400433
1836.86,1117.9254014209391
1108.28,712.1530391340214
775.87,509.47124908518356
1286.88,724.1797953235073
750.49,686.7291229636841
747.64,1108.4814403754165
754.96,1097.078351791246
562.36,530.6766179611122
354.44,578.2323259383267
400.19,535.8438446498656
1401.47,1139.6863874427986
101.04,553.088295809251
1043.7,1157.0173651032374
1026.87,1131.4286538974911
989.6,677.3102599019547
1341.33,1142.2376936246187
863.61,676.6958536401837
813.69,508.3018306223835
598.23,753.0634352232064
473.2,1105.5951650861125
922.26,695.789908757958
810.31,565.0325730603445
809.37,565.1188716113288
754.99,556.6382944340405
589.2,700.7553881452034
828.44,722.923000746068
1239.76,717.1144147242269
953.7,732.5048382129827
742.28,756.2656130006836
1239.44,1196.654601045572
669.77,558.0326661782274
1450.6,1143.9124983971776
499.87,585.2917960490738
244.8,691.4643706146446
811.16,719.7615699724552
1931.84,1093.6622764149142
1851.62,1133.6900202186548
1457.46,1096.8641651451178
480.45,532.5991397636423
507.35,1185.849833034773
1062.86,1127.3667275467055
603.03,702.0925696447607
686.9,740.457738782063
623.79,689.9159311019173
1507.47,1146.8086084250806
515.64,576.9131496513277
559.54,706.2770159573317
937.4,738.7465298983855
665.79,718.5834452755339
135.72,548.2096624831347
859.53,1092.446497343719
884.83,678.8716078956046
1887.75,1138.3556662657304
969.01,513.6824475031254
274.48,1102.6993322685657
668.96,539.2319151632469
1912.05,1171.6243157819692
400.44,533.3790591308941
1259.92,736.2560520041243
769.57,583.6282579701813
143.52,536.2376257258542
1205.03,696.8246797628269
408.4,502.01340880488294
1001.34,711.7721211050396
372.53,683.9507301724734
515.24,563.87360420736
1554.01,1158.6494559189064
607.83,541.4129104335067
785.03,1084.39529409482
305.48,563.79050505491
1174.9,726.7936284623079
203.46,579.9108427128153
1079.89,719.3463319762864
328.67,552.0473602683395
1020.34,710.6589295678773
729.12,766.1245789751314
437.91,557.3672719936865
1205.02,667.4470890640237
1772.42,1114.8040323717344
661.8,717.5357585692961
1066.22,740.3719167442073
684.79,736.8545821232681
887.82,570.1328282111501
770.12,1106.062772552612
669.23,550.7633910100515
280.01,595.5718835181141
466.02,667.506201823403
312.62,695.8650592893883
668.28,1161.8734702138024
230.21,755.31032824261
926.72,1089.0619092260506
836.52,553.2104446344781
453.78,1187.3412385144857
1051.02,707.8926776065306
1095.04,706.0816891802074
1286.19,762.5103751355307
453.87,1118.3571212003342
1028.14,1172.434027091979
1898.01,1153.6616388005366
1012.37,778.9479861545469
955.76,698.5307989949509
256.84,1108.4096584680701
679.95,705.7052840957629
343.29,715.8872794277893
873.69,689.8153920625009
685.12,738.2863707202333
171.59,563.5590903293639
848.14,732.681311421253
570.53,713.9291719186485
955.24,667.2084898280004
778.01,739.9190712957353
1194.26,718.8642544568985
861.85,598.896810814064
1227.81,707.4760509688922
606.79,736.1973559506426
1892.3,1148.7943576571224
719.5,689.0569169759563
1605.49,1159.1163297219975
732.91,507.25164427747643
1349.74,1146.5526689597448
1114.14,708.9466278709933
267.34,579.3583318848378
1021.55,736.0997045247884
1141.63,711.0497215715318
467.8,710.568986078312
442.1,530.1823545071227
835.59,1144.3587103137695
526.47,543.5113475102914
465.21,571.3090480384108
704.3,723.9038167662432
239.12,1139.566467519724
851.55,781.5230510189701
1082.87,725.1760076928526
906.67,726.318021881201
1106.74,700.8209057851029
241.3,548.3231446176762
467.85,536.1827732718663
860.15,714.1667214833163
196.97,560.5485462921201
256.71,674.1524558554918
1417.85,1148.9850404087924
